S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
11,"Administrative & Executive Officials, Quasi Government (State)",1112.0700,1123.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Senior government officials and quasi-government administrative and executive officials plan, organize, coordinate, and control activities within their delegated authority, overseeing various organizations, departments, and sections. This role includes officials such as vice chancellors, deans, chairmen, and secretaries of state universities, autonomous educational institutes, corporations, and development authorities."
12,"Administrative and Executive Officials, Local Bodies",1112.0800,1124.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Senior government officials plan, organize, and coordinate the functions of local bodies, including city corporations, municipalities, and district boards, and execute and implement decisions, rules, and regulations. They also assess and collect local taxes, and are designated according to their post, such as Commissioner, Executive Officer, or Secretary."
13,"Senior Government Officials, Other",1112.9900,1129.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Administrative and executive officials, including those in government, quasi-government, or local bodies, oversee policy decisions, implementation, and general management of their respective branches, sections, and departments. This group includes senior officials from various organizations, such as traditional chiefs, special-interest organizations, and government officials, who make key decisions and represent their organizations."
14,Political Worker,1114.0100,1141.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes senior officials responsible for leading special interest organizations, overseeing their operations, and making key decisions. It encompasses job roles that involve strategic planning, policy development, and advocacy for the organization's mission and goals.","Political workers engage in various activities to promote their party's ideology, build connections between constituents and legislators, and organize local events. They may hold leadership positions within their party or serve as local government officials, such as Panchayat President or Secretary."
15,"Senior Officials of Employers, Workers and Other Economic Interest Organizations",1114.0200,1142.00,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes senior officials responsible for leading special interest organizations, overseeing their operations, and making key decisions. It encompasses job roles that involve strategic planning, policy development, and advocacy for the organization's mission and goals.","Senior officials of employers', workers', and other economic-interest organizations are responsible for determining and formulating policies, rules, and regulations for their respective organizations, as well as directing their application and representing these organizations. They act on behalf of their organizations, making key decisions and taking actions to advance their interests."
16,"Director, Disaster Management Services",1114.0300,1143.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes senior officials responsible for leading special interest organizations, overseeing their operations, and making key decisions. It encompasses job roles that involve strategic planning, policy development, and advocacy for the organization's mission and goals.","The Services Director, Disaster Management Services oversees regional programme activities, coordinating with agencies to provide specialized human services, including disaster relief, emergency transportation, and water safety programmes. This role involves budgeting, staff training, equipment maintenance, and coordinating services for disaster victims, including transportation, medical supplies, and emergency first aid."
17,"Senior Officials of Special Interest Organizations, Other",1114.9900,1143.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes senior officials responsible for leading special interest organizations, overseeing their operations, and making key decisions. It encompasses job roles that involve strategic planning, policy development, and advocacy for the organization's mission and goals.","Senior officials of humanitarian and other special-interest organizations determine and formulate policies, rules, and regulations, and direct their application on behalf of these organizations. They represent their organizations and act as their managing directors or chief executives, overseeing overall activities and operations within established guidelines."
18,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The working proprietor is responsible for planning, organizing, and controlling the activities of private or public organizations engaged in electricity generation, transmission, and distribution to domestic and industrial consumers. This role is designated based on the work performed or powers exercised, and falls under the ISCO 08 Unit Group Details: Code 1120, Managing Directors and Chief Executives."
19,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The working proprietor is responsible for planning, organizing, and controlling the activities of gas manufacturing, distribution, and supply, as well as steam production and supply for heat and power purposes within an organization or its departments. This role is designated based on the work performed or powers exercised, and is classified under ISCO 08 Unit Group Code 1120, Managing Directors and Chief Executives."
20,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The working proprietor is responsible for planning, organizing, and coordinating water supply activities within delegated authority, overseeing storage, filtration, purification, and supply operations for public or private organizations. This role is classified under ISCO 08 Unit Group Details: Code 1120, which corresponds to Managing Directors and Chief Executives."
21,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The Director, Electricity oversees the organization and is assisted by multiple managers, responsible for determining, planning, organizing, and controlling the activities of organizations involved in electricity generation, transmission, and distribution to domestic and industrial consumers.  This role is designated based on the work performed or powers exercised, and is classified under ISCO 08 Unit Group Code 1120, Managing Directors and Chief Executives."
22,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The Director, Gas oversees the operations of public and private organizations, enterprises, or departments engaged in gas manufacture, distribution, and supply, as well as the production and supply of steam for heat and power. This role is typically designated based on the work performed or powers exercised, and is supported by one or more managers."
23,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The Director, Water Supply oversees the organization, supported by multiple managers, and is responsible for determining, planning, organizing, and coordinating water storage, filtration, purification, and supply activities within delegated authority. This role is classified under ISCO 08 Unit Group Details: Code 1120, which corresponds to Managing Directors and Chief Executives."
24,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The Director, Bank is responsible for setting broad policies and plans, as well as overseeing the overall operation of a private or public bank, within the scope of their delegated authority. This role may be referred to by various titles, such as Governor, Chairman, or Managing Director, depending on the specific authority delegated or the nature of the work performed."
25,"Director, Insurance",1120.0800,1212.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Managing Directors and Chief Executives 
This group consists of occupations that perform senior management tasks, share common skill sets, and contribute to the overall direction and strategy of organizations. They oversee and direct the operations of organizations, making key decisions and providing leadership.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives. It encompasses senior leadership positions responsible for overseeing overall strategy, direction, and operations of organizations.","The Director, Insurance is responsible for setting and implementing broad policies, plans, and coordinating insurance-related activities within an organization, encompassing various types of insurance business. This role typically involves overseeing the management of life, fire, accident, marine, and other general insurance operations, with authority delegated according to the specific responsibilities and duties assigned."
