S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
18,Director Manufacturing,1120.1800,1214.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director Manufacturing performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
19,"station Director, Radio/TV",1120.3400,1218.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A station Director, Radio/TV performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
20,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Water Supply performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
21,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",1120.1900,1214.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
22,Account Director ( Advertising Agency),1120.3401,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Account Director ( Advertising Agency) performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
23,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Electricity performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
24,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",1120.2000,1214.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Retail Trade/Proprietor, Retail Trade performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
25,Sales Director (Media Org),1120.3402,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Sales Director (Media Org) performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
26,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Gas performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
27,"Director, Wholesale Trade",1120.2100,1214.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Wholesale Trade performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
28,"Working Proprietor, Other Services",1120.3500,1219.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Other Services performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
29,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Water Supply performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
30,"Director, Retail Trade",1120.2200,1214.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Retail Trade performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
31,"Director, Other Services",1120.3600,1219.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Other Services performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
32,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Bank performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
33,"Working Proprietor, Transport",1120.2300,1215.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Transport performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
34,"Director, Museum/Zoo",1120.3700,1219.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Museum/Zoo performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
35,"Director, Insurance",1120.0800,1212.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Insurance performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
36,"Director, Transport",1120.2400,1215.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Transport performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
37,Chief Librarian,1120.3800,1219.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Chief Librarian performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
38,"Working Proprietor, Mines/Proprietor, Mines",1120.0900,1213.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Mines/Proprietor, Mines performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
