S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
11,"Administrative & Executive Officials, Quasi Government (State)",1112.0700,1123.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Officials, Quasi Government (State) Administrative and Executive Official, Quasi Government (State) plans, organizes, co-ordinates and controls within authority delegated, activities of quasi-government organizations, establishments, etc. or one or more of its departments/branches or sections; and includes officials such as: VICE CHANCELLOR, STATE UNIVERSITIES, DEAN, STATE AUTONOMOUS EDUCATIONAL INSTITUTES, CHAIRMAN, STATE CORPORATIONS/BOARDS, CHAIRMAN, HARYANA URBAN DEVELOPMENT AUTHORITY, SECRETARY, GHAZIABAD DEVELOPMENT AUTHORITY. ISCO 08 Unit Group Details: Code Title Senior Government Officials"
12,"Administrative and Executive Officials, Local Bodies",1112.0800,1124.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Officials, Local Bodies Administrative and Executive Official, Local Bodies plans, organizes, co-ordinates and controls functions of the city corporation, improvement trust, municipality, district board, cantonment board, notified area committee or other local bodies, and executes and implements or supervises execution and implementation of decisions, rules and regulations and by-laws of local bodies and also assesses and collects local taxes. designated according work performed post held, such as: COMMISSIONER, CITY CORPORATION, EXECUTIVE OFFICER, IMPROVEMENT TRUST; EXECUTIVE OFFICER, CANTONMENT, BOARD; EXECUTIVE OFFICER; MUNICIPAL BOARD, SECRETARY, DISTRICT BOARD TAX SUPERINTENDENT, OCTROI SUPERINTENDENT ISCO 08 Unit Group Details: Code Title Senior Government Officials"
13,"Senior Government Officials, Other",1112.9900,1129.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Administrative and Executive Officials, Government and Local Bodies, Other Include all other administrative and executive officials of government, quasi- government or local body, engaged in taking policy decisions and their implementation, general management and supervision of its one or more branches, sections and departments, not elsewhere classified. ISCO 08 Unit Group Details: Code Title Senior Government Officials Family Traditional Chiefs and Heads of Villages Traditional Chiefs and Heads of Villages perform variety legislative, administrative and ceremonial tasks and duties, determined by ancient traditions, as well as by the division of rights and responsibilities between village chiefs and the local, regional and national authorities. Family Senior Officials of Special-interest Organizations Senior Officials Special-interest Organizations determine, formulate and direct the implementation of policies of special-interest organizations, such as political-party organizations, trade unions, employers' organizations, trade and industry associations, humanitarian or charity organizations, sports associations, and represent their organizations and act on their behalf."
14,Political Worker,1114.0100,1141.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior officials of special interest organizations, with shared responsibilities, tools, and work objectives.",Political Worker takes part in various activities of the political party to which he belongs. Contacts people for propagating ideology of his party and to enquire about their difficulties. Acts as link between people and legislators. Organizes activities of the party in his area. May act as President or Secretary of his party. May also function as President of Panchayat or Panchayat Samiti of his area. ISCO 08 Unit Group Details: Code 1114 Title Senior Officials of Special-interest Organizations
15,"Senior Officials of Employers, Workers and Other Economic Interest Organizations",1114.0200,1142.00,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior officials of special interest organizations, with shared responsibilities, tools, and work objectives.","Workers and Other Economic Interest Organizations Senior Officials of Employers’, workers’ and other economic-interest organizations determine and formulate policies, rules and regulations their respective organizations, direct their application, represents these organizations and act on their behalf. ISCO 08 Unit Group Details: Code 1114 Title Senior Officials of Special-interest Organizations"
16,"Director, Disaster Management Services",1114.0300,1143.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior officials of special interest organizations, with shared responsibilities, tools, and work objectives.","Services Director, Disaster Management Services directs and co-ordinates regional programme activities of various agency to provide specialized human services, such as water safety programmes, disaster relief, and emergency transportation: Consults with co-operating agencies, such as police, firefighters and emergency ambulance services to co-ordinate efforts and define areas jurisdiction. Participates in programme activities to serve clients of agency. Prepares budgets to control costs and to allocate funds in accordance with provisions and agency charter. May instruct agency staff and volunteers in skills required to provide services. May forward requisitions and arrange for maintenance of equipment, such as two way radios and agency vehicles. May co-ordinate services to disaster victims and safety programmes, such as water safety and emergency first aid, and also co-ordinates transportation of agency clients, blood and medical supplies and equipment. ISCO 08 Unit Group Details: Code 1114 Title Senior Officials of Special-interest Organizations"
17,"Senior Officials of Special Interest Organizations, Other",1114.9900,1143.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior officials of special interest organizations, with shared responsibilities, tools, and work objectives.","Organizations, Other Senior Officials of Humanitarian and other Special-interest Organizations, Other include senior officials of humanitarian and other special-interest organizations who determine and formulate policies, rules and regulations of humanitarian organizations, sports associations or other special-interest organizations. Directs their application, represents these organizations and acts on their behalf. ISCO 08 Unit Group Details: Code 1114 Title Senior Officials of Special-interest Organizations Group Managing Directors and Chief Executives Managing Directors and Chief Executives formulate and review the policies, plan, direct, co-ordinate and evaluate the overall activities enterprises organizations (except special interest organizations and government departments) with the support of other managers, usually within guidelines established by a Board of Directors or a governing body to whom they are answerable for the operations undertaken and their result. Occupations in this Group are classified into the following Families: 1120 Managing Directors and Chief Executives Family Managing Directors and Chief Executives Managing Directors and Chief Executives formulate and review the policies and plan, direct co-ordinate and evaluate the overall activities enterprises organizations (except special interest organizations and government departments). They work with the support other managers, usually within guidelines established by a Board of Directors or a governing body to whom they are answerable for the operations undertaken and their result."
18,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Working Proprietor, Electricity plans, organizes and controls in broad outline, within authority delegated, activities of private public organizations establishments or one or more of its branches, departments, etc. engaged in generation, transmission and distribution of electricity to domestic and industrial consumers. Is designated according to work performed or powers exercised. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
19,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Working Proprietor, Gas plans, organizes and controls, within authority delegated activities of public or private organizations or enterprises, or one or more of its departments, sections branches, engaged manufacture gas, distribution and supply gas consumers and production and supply of steam for heat and power. Is designated according to work performed or powers exercised. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
20,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Working Proprietor, Water Supply plans, organizes and co-ordinates, within authority delegated, activities of public or private organizations engaged in storage, filtration, purification and supply of water. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
21,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Director, Electricity heads the organization and is supported by more than one manager. Determines, plans, organizes and controls in broad outline, within authority delegated, activities of private or public organizations or establishments or one or more of its branches, departments, etc. engaged in generation, transmission and distribution of electricity to domestic and industrial consumers. Is designated according to work performed or powers exercised. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
22,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Director, Gas heads the organization and is supported by more than one manager. Determines, plans, organizes and controls, within authority delegated activities of public private organizations enterprises, or one or more of its departments, sections branches, engaged manufacture gas, distribution and supply gas consumers and production and supply of steam for heat and power. Is designated according to work performed or powers exercised. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
23,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Director, Water Supply heads the organization and is supported by more than one manager. Determines, plans, organizes and co-ordinates, within authority delegated, activities of public or private organizations engaged in storage, filtration, purification and supply of water. ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
24,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","Director, Bank sets broad policies and plans and supervises in general way, within authority delegated, efficient operation of private or public bank or major segment of it. May be designated according to authority delegated or work performed such as: GOVERNOR (BANK), CHAIRMAN (BANK), MANAGING DIRECTOR (BANK). ISCO 08 Unit Group Details: Code 1120 Title Managing Directors and Chief Executives"
